timestamp,pose_present
1764742151044,1
1764742151203,1
1764742151360,1
1764742151522,1
1764742151683,1
1764742151834,1
1764742151993,1
1764742152151,1
1764742152313,1
1764742152472,1
1764742152632,1
1764742152815,1
1764742152984,1
1764742153146,1
1764742153313,1
1764742153478,1
